YEAR,STATEFIP,COUNTYFIP,RENTGRS,COSTELEC,COSTGAS,COSTWATR,COSTFUEL
2021,6,23,1096,,600,60,490
2016,1,0,0,,,90,20
2021,45,83,3415,,120,60,
2016,28,0,0,,240,,20
2016,6,77,0,,240,30,
2021,6,37,0,,240,60,
2016,48,201,1033,,360,30,
2016,17,0,537,,120,320,
2021,48,141,537,,240,200,
2016,48,303,0,,360,150,
2016,45,0,1544,,480,50,
2016,51,0,2244,,480,50,
2016,35,0,0,,240,300,
2021,25,25,3145,,240,300,
2021,32,3,1647,,360,200,
2021,24,31,2552,,600,20,
2016,40,109,0,,360,420,
2016,6,59,0,,600,200,
2021,1,0,370,,240,600,
2016,6,73,0,,840,,50
2016,8,0,1878,,240,690,
2021,4,13,0,,240,700,
2021,51,0,1978,,840,100,
2011,21,0,883,,600,400,
2016,42,101,0,,960,60,
2016,6,71,837,,240,800,
2021,6,29,838,,600,450,
2016,6,0,0,,1080,10,
2016,6,89,0,,600,520,
2016,29,189,0,,840,360,
2016,1,73,0,,840,380,
2011,18,0,554,,600,650,
2021,6,37,2104,,600,650,
2021,6,1,1608,,1200,100,
2016,48,141,0,,480,840,
2021,42,101,913,,360,1000,
2021,48,201,0,,480,900,
2021,6,113,2017,,1200,,200
2021,39,0,610,,480,960,
2021,48,157,1622,,360,1100,
2016,48,201,0,,480,1000,
2021,24,31,2128,,1440,90,
2016,39,113,0,,1200,540,
2016,12,57,0,,1200,720,
2016,47,0,0,,1800,150,
2011,6,37,0,,1920,40,
2021,12,0,763,,1440,520,
2016,9,1,0,,,1000,990
2016,9,9,0,,1800,200,
2021,39,45,1767,,1800,200,
2016,25,0,0,,1440,680,
2011,36,0,910,,3600,120,
2011,55,0,0,,2640,2400,
2011,21,111,10,,,4,
2011,41,39,601,,,10,
2011,36,0,690,,,,4
2021,24,31,1301,,,10,
2011,21,0,1901,,,,10
2016,47,0,742,,,20,
2016,6,65,0,,,,20
2016,42,101,942,,,20,
2021,48,303,963,,,30,
2011,6,67,0,,,30,
2011,2,20,943,,,30,
2021,6,75,7143,,,,40
2016,21,0,0,,,40,
2016,48,453,0,,,40,
2016,24,33,1003,,,40,
2016,6,65,454,,48,,
2016,42,91,1304,,48,,
2016,37,0,804,,,50,
2021,6,25,0,,48,,
2011,8,0,244,,48,,
2011,8,0,544,,48,,
2011,6,37,1104,,48,,
2016,36,89,0,,,,50
2016,48,0,0,,,60,
2021,48,0,0,,,60,
2021,36,47,1905,,,60,
2021,35,49,1206,,,70,
2016,49,35,0,,,80,
2021,18,0,557,,,80,
2021,42,3,557,,,80,
2016,22,71,1707,,,80,
2016,22,55,0,,,,80
2021,48,113,1508,,,100,
2011,47,0,408,,,,100
2011,38,0,0,,,,100
2021,19,0,160,,,120,
2016,6,97,700,,120,,
