,track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album
0,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,100,spotify:artist:22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Beautiful Things
1,spotify:track:3Vlt0DKYBK0h3Vf92nywhp,OKLOSER,33,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,87,"['dance pop', 'pop']",Scarlet 2 CLAUDE
2,spotify:track:46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),90,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,95,['pop'],eternal sunshine
3,spotify:track:2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,93,spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2,Artemas,79,[],i like the way you kiss me
4,spotify:track:4IadxL6BUymXlh8RCJJu7T,Too Sweet,88,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Hozier,86,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Unheard
5,spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,98,spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm,Djo,81,"['pov: indie', 'psychedelic pop']",DECIDE
6,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,96,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,85,['pop'],greedy
7,spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,93,spotify:artist:33qOK5uJ8AR2xuQQAhHump,Teddy Swims,82,[],I've Tried Everything But Therapy (Part 1)
8,spotify:track:0Z7nGFVCLfixWctgePsRk9,TEXAS HOLD 'EM,92,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,92,"['pop', 'r&b']",TEXAS HOLD 'EM
9,spotify:track:0mflMxspEfB0VbI1kyLiAv,Stick Season,94,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,87,['pov: indie'],Stick Season
10,spotify:track:1bjeWoagtHmUKputLVyDxQ,Saturn,92,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,SZA,91,"['pop', 'r&b', 'rap']",Saturn
11,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",92,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,95,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Idol Episode 4 (Music from the HBO Original Series)
12,spotify:track:5aIVCx5tnk0ntmdiinnYvw,Water,91,spotify:artist:3SozjO3Lat463tQICI9LcE,Tyla,79,[],Water
13,spotify:track:1UP7PXne1lIYZB5G5aiRGL,II MOST WANTED,86,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,92,"['pop', 'r&b']",COWBOY CARTER
14,spotify:track:6Qb7YsAqH4wWFUMbGsCpap,Training Season,91,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,88,"['dance pop', 'pop', 'uk pop']",Training Season
15,spotify:track:2Zo1PcszsT9WQ0ANntJbID,Feather,90,spotify:artist:74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,81,['pop'],emails i can’t send fwd:
16,spotify:track:6tNgRQ0K2NYZ0Rb9l9DzL8,obsessed,87,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,90,['pop'],GUTS (spilled)
17,spotify:track:2tudvzsrR56uom6smgOcSf,Like That,94,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,Future,93,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",WE DON'T TRUST YOU
18,spotify:track:52eIcoLUM25zbQupAZYoFh,redrum,93,spotify:artist:1URnnhqYAYcrqrcwql10ft,21 Savage,91,"['atl hip hop', 'hip hop', 'rap']",american dream
19,spotify:track:4xhsWYTOGcal8zt0J161CU,Lovin On Me,93,spotify:artist:2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",Lovin On Me
