,track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,album_uri
0,7gaA3wERFkFkgivjwbSvkG,"yes, and?",88,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],"yes, and?",spotify:album:2B9amdrHDIKOoEiPUfZGtb
1,5D34wRmbFS29AjtTOP2QJe,"yes, and?",85,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],eternal sunshine,spotify:album:5EYKrEDnKhhcNxGedaRQeK
2,7BXyTc2ycXzXjAaGRTqnad,Forever and a Day,72,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
3,5Hqo6dHSTPilabNfzZ3MyP,"yes, and?",71,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],eternal sunshine (slightly deluxe),spotify:album:5Csjy4XeA7KnizkhIvI7y2
4,51eSHglvG1RJXtL3qI5trr,Slow It Down,85,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
5,3h76tbaYIamSeJL81X7ZwI,Cry,85,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
6,7GUhiAHLoVy1V8ucQuZ3CB,Popular (with Playboi Carti & Madonna),83,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Highlights (Deluxe),spotify:album:18sR8zHx4zsVJUI4bHWuPC
7,3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,87,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
8,1EycQzSpakKNsHgMbTMMKo,The von dutch remix with addison rae and a.g. cook,74,25uiPmTg16RbhZWAqwLBy5,Charli XCX,75,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",The von dutch remix with addison rae and a.g. cook,spotify:album:5Pj0xqgA9D5lJ8ZQuAe3ft
9,11sirgYaEutV40tkvgpHN6,NEURON (with Gaeko & YOON MIRAE),86,0b1sIQumIAsNbqAoIClSpy,j-hope,75,"['k-pop', 'k-rap']",HOPE ON THE STREET VOL.1,spotify:album:5mqxdPWQirLBE7vdDMhlB4
10,0ttw2K5qNwaKse9LJQBaQt,"yes, and?",68,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],"yes, and?",spotify:album:4IQ9AV1mEjteHrc8KzMDDT
11,5UNaXVDqe7AJ8Fxn0sxnsS,On & On & On,63,4NZvixzsSefsNiIqXn0NDe,Maggie Rogers,70,['indie pop'],Don't Forget Me,spotify:album:3q149oaxOiW9EoHXqM5nvO
12,5LBv48NNyHsknRYwFWC361,"yes, and? (with Mariah Carey) - Remix",67,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],"yes, and?",spotify:album:7cE0lgNHmBxutHd5g4D3q8
13,3Zu3htXTRwwIcozD31XdrO,Skin and Bones - MEDUZA REMIX,67,33NVpKoXjItPwUJTMZIOiY,David Kushner,75,"['gen z singer-songwriter', 'singer-songwriter pop']",Skin and Bones (MEDUZA REMIX),spotify:album:1aeYa1dEoya8dCrS3vMNrV
14,1jGC00ZVUuVXwNdJjV17kJ,Boys & Girls,67,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,78,"['bedroom pop', 'pop', 'pov: indie']",Found Heaven,spotify:album:39gMxRpFKgIVvw3krIIam5
15,1j2iMeSWdsEP5ITCrZqbIL,Be Someone,74,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
16,315aBOUD3xtj7sUMXtRgMV,In The Stars,77,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
17,6zHzjtfipNJzk2YPqqZRYn,fire and rain,48,5G9kmDLg3OeUyj8KVBLzbu,mike.,64,"['indie pop rap', 'rhode island rap']",the lows.,spotify:album:6FBhrR6fIddXNhi0FrVadc
18,1UjPANunXLp0G9hbQNyPh9,"yes, and? (with Mariah Carey) - Remix",69,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],eternal sunshine (slightly deluxe),spotify:album:5Csjy4XeA7KnizkhIvI7y2
19,6rGf5AsEaVskU0pO2ewcUL,Sweet Disposition - John Summit & Silver Panda Remix,69,4W48hZAnAHVOC2c8WH8pcq,The Temper Trap,64,"['indietronica', 'modern rock', 'shimmer pop']",Sweet Disposition (John Summit & Silver Panda Remix),spotify:album:1xGF8XISTlMx8LCZrxhLa5
20,3kFRPjcHAlQrfHytP6kR61,Femme Fatale (feat. Coi Leray & Kaliii),68,02kJSzxNuaWGqwubyUba0Z,G-Eazy,76,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",Femme Fatale (feat. Coi Leray & Kaliii),spotify:album:2S0pVYtrczvAfcw8d8BHUc
21,2R6tflIwv19qoYxg5hYLVh,Young Rich & In Love,65,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,82,['colombian pop'],ORQUÍDEAS,spotify:album:5U20AVSsUvycGtWip4XQfo
22,4ZuIZH78dteLeq4KAApART,Intro,73,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
23,20LZsv2s3dXvoBuPUEOlAv,Muñekita (with El Alfa & JT),67,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,82,['colombian pop'],ORQUÍDEAS,spotify:album:5U20AVSsUvycGtWip4XQfo
24,44ctOf8yy88ud6k2EZqBJO,"yes, and?",60,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],eternal sunshine,spotify:album:71PfP4E9roOXAudea1aPGw
25,6avei3GTDwm3u8jobPwGh5,The von dutch remix with skream and benga,58,25uiPmTg16RbhZWAqwLBy5,Charli XCX,75,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",The von dutch remix with skream and benga,spotify:album:6e5PBZjpdbu2t39D9QoUgF
26,3OJIdGOHEzxY8V0CNCBBXc,Drunk In My Mind,71,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
27,1V0F4RTZwduhOv7sK9jjLY,Submissive & Breedable,62,1s3M7xKyIAVVBxDEXJ1dT3,Smosh,42,['antiviral pop'],Submissive & Breedable,spotify:album:3lPJRy4WqT1qJx4zigsNMp
28,1LwYxucxNaw2MazAs2okBw,My Greatest Fear,72,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
29,6HuHyXviAdpmnQu73JHfBz,Ghost Town,73,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
30,3aKXtIPNRoD73KLpsNnNoK,lock / unlock (with benny blanco & Nile Rodgers),77,0b1sIQumIAsNbqAoIClSpy,j-hope,75,"['k-pop', 'k-rap']",HOPE ON THE STREET VOL.1,spotify:album:5mqxdPWQirLBE7vdDMhlB4
31,2V0Vlkbb6fUEHl1gk8Lwr6,That's My Girl,67,1z7b1Pr1rSlvWRzsW3HOrS,Russ,73,"['hawaiian hip hop', 'pop rap']",That's My Girl & Tired,spotify:album:1kfbsMBtTpCrrXqUnBYjjH
32,7bm43GzdpxPuXgxAXdvWSw,Love & War,62,31TPClRtHm23RisEBtV3X7,Justin Timberlake,80,"['dance pop', 'pop']",Everything I Thought It Was,spotify:album:716B2iWcwoKolCXrqwLGQh
33,4jWCFYhDAqOLClw5dFvk8O,There She Goes,70,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
34,6VyWsk3qiz8NmHUEyVobQb,Hello Love,70,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm
35,0KbiElEOrLB2Yeo8aHkenq,"Me, Myself & Your Eyes",60,61S5H9Lxn1PDUvu1TV0kCX,Knox,55,['singer-songwriter pop'],"Me, Myself & Your Eyes",spotify:album:3dkh3H211HMotBuF2vMqVk
36,1bCXJNruuOmSgeoc2kij4S,Midwest Rock & Roll,56,7lDVEkjIURPMyUYwoQRrpw,Ryan Hurd,53,"['contemporary country', 'country pop', 'country road', 'modern country rock']",Midwest Rock & Roll,spotify:album:1ROseSkx6NaAleh4OIknGf
37,0NrObqc8nK1XcDNPJNBKRV,UNDEFEATED,70,0LOK81e9H5lr61HlGGHqwA,XG,63,['k-pop girl group'],UNDEFEATED,spotify:album:7kHjcTey5ZAewZLWtuCqzK
38,4eAV1ZCliRotEcjzEbOWNW,Cigarettes & Wine (feat. Holly Humberstone),62,0xPoVNPnxIIUS1vrxAYV00,Del Water Gap,58,"['deep new americana', 'indie pop', 'pov: indie']",Cigarettes & Wine (feat. Holly Humberstone),spotify:album:0KUNjsa4YtmFilHMgwLzfo
39,6YnVpGLg1ZWcFmWTRQkV5G,Sticks & Stones,58,6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,70,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",Sticks & Stones,spotify:album:7mT3zLzfLOF6iIibM3a0xF
40,2ckw25vIQjnbN03XRwp55B,"yes, and?",57,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],"yes, and?",spotify:album:6mNdtZhr5zcz2SLzyPxweY
41,3TBNXtO8ukvpbgvkMuttsb,Dreaming,63,2NjfBq1NflQcKSeiDooVjY,Tones And I,68,['australian pop'],Dreaming,spotify:album:0WK5sLNYIynhTomJpn1bqs
42,12SdfiD7MIRteeIXWdvxpl,"yes, and? - extended mix",55,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],"yes, and?",spotify:album:6mNdtZhr5zcz2SLzyPxweY
