Year,President,Type,URL
2024,Biden,SOTU,https://www.whitehouse.gov/state-of-the-union-2024/ 
2023,Biden,SOTU,https://www.whitehouse.gov/state-of-the-union-2023/ 
2022,Biden,SOTU,https://www.whitehouse.gov/state-of-the-union-2022/
2021,Biden,SOTU,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/29/remarks-by-president-biden-in-address-to-a-joint-session-of-congress/
2020,Trump,SOTU,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-state-union-address-3/
2019,Trump,SOTU,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-state-union-address-2/
2018,Trump,SOTU,https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trumps-state-union-address/
2017,Trump,SOTU,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-joint-address-congress/
2016,Obama,SOTU,https://obamawhitehouse.archives.gov/the-press-office/2016/01/12/remarks-president-barack-obama-%E2%80%93-prepared-delivery-state-union-address 
2015,Obama,SOTU,https://www.cnn.com/2015/01/20/politics/state-of-the-union-2015-transcript-full-text/index.html 
2014,Obama,SOTU,https://obamawhitehouse.archives.gov/the-press-office/2014/01/28/president-barack-obamas-state-union-address 
2013,Obama,SOTU,https://obamawhitehouse.archives.gov/the-press-office/2013/02/12/remarks-president-state-union-address 
2012,Obama,SOTU,https://obamawhitehouse.archives.gov/the-press-office/2012/01/24/remarks-president-state-union-address 
2011,Obama,SOTU,https://obamawhitehouse.archives.gov/the-press-office/2011/01/25/remarks-president-state-union-address 
2010,Obama,SOTU,https://obamawhitehouse.archives.gov/the-press-office/2016/01/12/remarks-president-barack-obama-–-prepared-delivery-state-union-address
2009,Obama,SOTU,https://obamawhitehouse.archives.gov/the-press-office/remarks-president-barack-obama-address-joint-session-congress 
2008,Bush,SOTU,https://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080128-13.html  
2007,Bush,SOTU,https://georgewbush-whitehouse.archives.gov/news/releases/2007/01/20070123-2.html 
2006,Bush,SOTU,https://georgewbush-whitehouse.archives.gov/stateoftheunion/2006/ 
2005,Bush,SOTU,https://georgewbush-whitehouse.archives.gov/news/releases/2005/02/20050202-11.html 
2004,Bush,SOTU,https://www.washingtonpost.com/wp-srv/politics/transcripts/bushtext_012004.html 
2003,Bush,SOTU,https://georgewbush-whitehouse.archives.gov/news/releases/2003/01/20030128-19.html 
2002,Bush,SOTU,https://georgewbush-whitehouse.archives.gov/news/releases/2002/01/20020129-11.html 
2001,Bush,SOTU,http://stateoftheunion.onetwothree.net/texts/20010920.html 
