track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
5rqj68RF5smc7CmGE60jSb,Pirates & Parrots (feat. Mac McAnally),59,country,Zac Brown Band,70,3750563,"['contemporary country', 'country', 'country road', 'modern country rock']",Pirates & Parrots (feat. Mac McAnally),0.529,0.432,4,1,-5.71,0.0302,0.442,0.0,0.326,0.499,139.948,235792,4,6yJCxee7QumYr820xdIsjo,spotify:album:204AnaLrCMvOeXCCO5JqH1
0spCehRZOXf6jItG7pcVdO,"Me and Paul - Live at The Hollywood Bowl, Los Angeles, CA - April 30, 2023",30,country,Dwight Yoakam,56,649835,"['bakersfield sound', 'country', 'country rock']",Long Story Short: Willie Nelson 90 (Live At Hollywood Bowl),0.302,0.848,7,1,-4.994,0.0436,0.0673,0.0427,0.981,0.296,91.1,253384,4,2sxmKe3CUrWnx7eoXMhOlW,spotify:album:1d6bEE3fpUfav6T1IdUBth
18YUeCaST4B5bAtVJnPQgb,Me And My Kind,54,country,Dylan Scott,69,1635141,"['contemporary country', 'country road', 'modern country rock']",Livin' My Best Life (Still),0.605,0.839,6,1,-5.093,0.0586,0.0553,0.0,0.317,0.616,129.93,145133,4,78YqeIji3mgAS2K1Maca6x,spotify:album:3B38AH4XMqDiI9W2Yd6mDT
1bCXJNruuOmSgeoc2kij4S,Midwest Rock & Roll,56,country,Ryan Hurd,53,254245,"['contemporary country', 'country pop', 'country road', 'modern country rock']",Midwest Rock & Roll,0.414,0.693,1,1,-4.655,0.0286,0.00638,0.0,0.138,0.379,76.025,231672,4,7lDVEkjIURPMyUYwoQRrpw,spotify:album:1ROseSkx6NaAleh4OIknGf
2NmZu0q7WEz96ZV1frglUN,"Roll Me Up And Smoke Me When I Die - Live at The Hollywood Bowl, Los Angeles, CA - April 30, 2023",25,country,Willie Nelson,70,2162072,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']",Long Story Short: Willie Nelson 90 (Live At Hollywood Bowl),0.373,0.935,0,1,-4.849,0.0952,0.307,0.0139,0.982,0.413,119.423,209948,4,5W5bDNCqJ1jbCgTxDD0Cb3,spotify:album:1d6bEE3fpUfav6T1IdUBth
5QCEu7LvgqZwQW1UbkLBYj,Cobain,57,country,Eddie And The Getaway,46,57260,['modern country pop'],Cobain,0.661,0.629,11,1,-6.729,0.0361,0.366,0.0,0.124,0.459,86.005,137442,4,7oTkfyZOcKQuCUFnSVLB3j,spotify:album:0PnNVejKg9bbz5uBi41K2A
1bNzEYfvxscJO2FGB4iCRj,Said and Done,47,country,Logan Michael,52,95279,['modern country pop'],Said and Done,0.516,0.574,0,1,-4.676,0.0267,0.276,4.94e-06,0.196,0.664,134.847,198519,4,3id1CBPBWkf8n5eeIM7q1y,spotify:album:4hGUyubaaFN03QwTMTzXAm
6p5dxf9lCU0nS4taYbrc3E,Younger and Wiser,49,country,Danielle Bradbery,49,306749,"['contemporary country', 'country pop', 'country road']",Younger and Wiser,0.542,0.665,0,1,-4.621,0.0333,0.327,0.0,0.322,0.106,129.877,212458,4,5iqStkZi6QmG8sgQZQrfGN,spotify:album:0IGeQTiKG3nfFihluikCOS
1tJqLiSIjsVcvtmMGtCmXA,Third Rock From The Sun (feat. Brooks & Dunn),59,country,HIXTAPE,62,79803,['modern country pop'],HIXTAPE: Vol. 3: DIFFTAPE,0.66,0.878,11,0,-4.197,0.0387,0.138,2.08e-06,0.323,0.933,151.014,170112,4,4Y8LpEiP4uKTP02lSYEWJV,spotify:album:4zdLttjbtQN3KWbeBEXL1O
6Oq3AYUGD8CazZYGjR4MNX,"Pancho & Lefty - Live at The Hollywood Bowl, Los Angeles, CA - April 30, 2023",25,country,Willie Nelson,70,2162072,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']",Long Story Short: Willie Nelson 90 (Live At Hollywood Bowl),0.454,0.845,2,1,-5.989,0.0354,0.197,0.197,0.963,0.485,113.364,300191,4,5W5bDNCqJ1jbCgTxDD0Cb3,spotify:album:1d6bEE3fpUfav6T1IdUBth
6zSRr1xsaDaoNXVT96kQtj,Cowboys and Plowboys,52,country,Jon Pardi,71,1951186,"['contemporary country', 'country', 'country road', 'modern country rock']",A Cowboy's Work Is Never Done,0.652,0.89,4,1,-3.471,0.034,0.00644,0.0,0.297,0.874,117.025,208064,4,4MoAOfV4ROWofLG3a3hhBN,spotify:album:3BKoN7awS6VmTEzMnwMTfy
4bjec7Fo1bmV4svzKEtXAo,Make It With You (feat. The War And Treaty),55,country,Nate Smith,66,311062,"['contemporary country', 'modern country pop']",Through the Smoke,0.452,0.797,2,1,-5.69,0.0468,0.00858,0.0,0.0798,0.389,94.95,161668,4,4NYMUsIcUUsBHbV9DICa5x,spotify:album:5rQ9bj7fCon5qGgve7QmzL
6cozBYQwp7SwbZ4VhurJJL,Outlaws and Mustangs,49,country,Cody Jinks,62,992886,"['classic texas country', 'modern southern rock', 'outlaw country']",Change the Game,0.455,0.842,6,1,-5.024,0.0277,0.00235,0.000755,0.155,0.508,96.659,240026,4,2v7wIbCkIzxOfT3GnqCexD,spotify:album:1OPgbhagGvc0wFx5ztKdwy
2364toHdid4HEDBf19wh2A,Bright Side Of Blue,47,country,Abby Anderson,46,107044,['country pop'],Bright Side Of Blue,0.487,0.433,0,1,-7.459,0.0438,0.147,0.0,0.199,0.733,175.92,176968,4,0WicR9iYAPd0Bi7i3bz9MB,spotify:album:3MarLkAR0t6kPSlZikelbi
7uobSZuPtCHGLbycBmL3SE,On My Breath,50,country,Eddie And The Getaway,46,57260,['modern country pop'],On My Breath,0.656,0.705,1,1,-6.686,0.0289,0.0365,0.0,0.0976,0.324,139.9,182571,4,7oTkfyZOcKQuCUFnSVLB3j,spotify:album:1Ds1F9dBJb1BMK4b1pGdgj
6DDPrs8s0ZtN5LirmGPZSV,God And A Girl,43,country,Luke Grimes,52,95120,['modern country pop'],God And A Girl,0.43,0.352,9,1,-10.272,0.0289,0.193,0.000601,0.111,0.18,109.428,294006,3,7Cezk2wEDBPfYCwEuKum1Y,spotify:album:6BFmOJ19FvMs2CEpGEn3Hx
0G3fI2EvhLAtBKZ66Tow9V,Young Love & Saturday Nights,50,country,Chris Young,64,2747416,"['contemporary country', 'country', 'country road']",Young Love & Saturday Nights,0.532,0.85,9,1,-5.301,0.0816,0.0209,0.000287,0.31,0.494,126.073,196373,4,4BYxqVkZyFjtik7crYLg5Q,spotify:album:0TJoGKCktudahrtegfmmgD
00wWOJfxwRtOaDXQ5fhtGa,Tie Up,52,country,Zac Brown Band,70,3750563,"['contemporary country', 'country', 'country road', 'modern country rock']",Pirates & Parrots (feat. Mac McAnally),0.669,0.781,9,1,-4.045,0.0416,0.15,0.0,0.0841,0.75,80.028,188036,4,6yJCxee7QumYr820xdIsjo,spotify:album:204AnaLrCMvOeXCCO5JqH1
4SflMtWx9gjZ4lT7qcU871,Middle Finger Motto,48,country,Eddie And The Getaway,46,57260,['modern country pop'],Middle Finger Motto,0.411,0.86,2,1,-4.143,0.138,0.000801,0.0,0.313,0.65,159.929,171938,4,7oTkfyZOcKQuCUFnSVLB3j,spotify:album:788rbiHAOAvbo26RzsdyOU
5tTDTWPR5O22fN0k9ubC0T,God And A Girl,42,country,Luke Grimes,52,95120,['modern country pop'],Luke Grimes,0.43,0.352,9,1,-10.272,0.0289,0.193,0.000601,0.111,0.18,109.428,294006,3,7Cezk2wEDBPfYCwEuKum1Y,spotify:album:3z24fpMlBap60LQ1Or1Gq2
6Ry13iv8mKsmUrTqrKtsoR,"My Rifle, My Pony and Me",39,country,Jarrod Morris,41,22815,"['classic texas country', 'red dirt']","My Rifle, My Pony and Me",0.616,0.248,0,1,-12.704,0.0374,0.822,2.01e-05,0.221,0.525,88.935,138339,4,2Y08Tu239xOkg25bPkth9R,spotify:album:7CZsIP4fkYo2PI5cTRXXHA
5FpEdufuunZqzyQbyetevf,Dance Like No One’s Watching,53,country,Gabby Barrett,60,336294,['contemporary country'],Chapter & Verse,0.529,0.587,5,1,-5.954,0.0346,0.0958,0.0,0.101,0.238,121.827,231653,3,6Iz3eq2aQGFf7TbGT2iahL,spotify:album:4pfspuo0DUzho0hGtZHI9r
21KtzK2Ca651OjwqmSLuLF,Fire in the Sky,50,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.264,0.802,9,1,-7.445,0.0578,0.00354,0.0956,0.0988,0.465,148.19,219187,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
57cI63EBY6FqAhgzQxMSCT,"Trucks, Ducks, Bucks & Beer",46,country,Brian Kelley,50,31951,['modern country pop'],"Trucks, Ducks, Bucks & Beer",0.51,0.843,5,1,-4.074,0.0457,0.069,0.0,0.0771,0.718,156.041,193133,4,46c50yWMo9wiTgVe1VxBbQ,spotify:album:0ZUnvfZAa49HJeEZOX58vw
