track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
2tshfSpT1vLHlMZ88btPOj,Wanting and Waiting,53,hard-rock,The Black Crowes,59,752243,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'heartland rock', 'jam band', 'rock', 'southern rock']",Wanting and Waiting,0.493,0.921,7,1,-3.063,0.0333,0.000118,0.000179,0.159,0.449,117.531,255560,4,5krkohEVJYw0qoB5VWwxaC,spotify:album:7nNsP5Tgq1bsQDXBOXVzhw
4OiL5M05HmrnBk1AOdHNe0,Wanting and Waiting,52,hard-rock,The Black Crowes,59,752243,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'heartland rock', 'jam band', 'rock', 'southern rock']",Happiness Bastards,0.493,0.921,7,1,-3.063,0.0333,0.000118,0.000179,0.159,0.449,117.531,255560,4,5krkohEVJYw0qoB5VWwxaC,spotify:album:2P9mQHy3lFG8OhPKqg3XeX
4CfSXCf9plsLsarC2iLsIH,Rats and Clowns,52,hard-rock,The Black Crowes,59,752243,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'heartland rock', 'jam band', 'rock', 'southern rock']",Happiness Bastards,0.453,0.929,2,1,-3.339,0.0439,0.000421,0.0114,0.18,0.45,138.658,213640,4,5krkohEVJYw0qoB5VWwxaC,spotify:album:2P9mQHy3lFG8OhPKqg3XeX
1qX3Aw57OCHcrEoB35nDfr,The Serpent and the King,58,hard-rock,Judas Priest,65,3991906,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",Invincible Shield (Deluxe Edition),0.571,0.967,10,0,-5.033,0.103,7.76e-05,0.613,0.11,0.442,110.004,259748,4,2tRsMl4eGxwoNabM08Dm4I,spotify:album:0SgF4c7VeFBoATEdpTvgG8
2n09w41gAdEsJFp6bD0sBT,The Serpent and the King,47,hard-rock,Judas Priest,65,3991906,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",The Serpent and the King,0.571,0.967,10,0,-5.033,0.103,7.76e-05,0.613,0.11,0.442,110.004,259748,4,2tRsMl4eGxwoNabM08Dm4I,spotify:album:53T5pDi25DmqJiQgHdinBq
7tC8T9inuQMWNYpSb7QeWe,Blue Jeans & White T-Shirts,48,hard-rock,The Gaslight Anthem,52,344494,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk']",History Books - Short Stories,0.545,0.494,5,1,-8.139,0.025,0.266,3.4e-05,0.0971,0.141,88.928,217794,4,7If8DXZN7mlGdQkLE2FaMo,spotify:album:4VY9t7aej2aVG6LtmPE1IE
2ym5kfNQsTXpmcbGYNnr1k,The World And His Dog - 2024 Remaster,17,hard-rock,UFO,51,564494,"['album rock', 'glam metal', 'hard rock', 'metal', 'progressive rock']",Covenant + Sharks,0.387,0.85,9,0,-5.737,0.0515,0.000516,0.000521,0.12,0.318,78.148,215080,4,2Omy3P5hFZym7FKum1JA1s,spotify:album:1GXcOZVvAxXlXTMZ0JkYGs
40I7aVmN2eeCYoC1BAQK8Z,"Hell, Fire And Damnation",44,hard-rock,Saxon,48,583002,"['glam metal', 'hard rock', 'metal', 'nwobhm', 'power metal']","Hell, Fire And Damnation",0.403,0.932,4,0,-6.674,0.07,0.00031,4.37e-05,0.276,0.286,174.127,332787,4,71vVmHeNgCVSa5SVmfvscU,spotify:album:4DcQ33Fg2ZYJSkhoehGI21
5XVlQGOkvrCGeirg8eANAr,Crown of Horns,42,hard-rock,Judas Priest,65,3991906,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",The Serpent and the King,0.54,0.909,10,0,-5.748,0.0364,0.000588,1.07e-05,0.599,0.495,120.035,345761,4,2tRsMl4eGxwoNabM08Dm4I,spotify:album:53T5pDi25DmqJiQgHdinBq
4nmfLPnPf36PXkFxL14CzU,Wanting and Waiting,31,hard-rock,The Black Crowes,59,752243,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'heartland rock', 'jam band', 'rock', 'southern rock']",Cross Your Fingers,0.493,0.921,7,1,-3.063,0.0333,0.000118,0.000179,0.159,0.449,117.531,255560,4,5krkohEVJYw0qoB5VWwxaC,spotify:album:6uHfrz1awx019bmQvuqcax
0QbLqlJWbR9IMJxfjZvHwj,Fire And Steel,40,hard-rock,Saxon,48,583002,"['glam metal', 'hard rock', 'metal', 'nwobhm', 'power metal']","Hell, Fire And Damnation",0.463,0.944,10,0,-5.46,0.116,1.55e-05,0.0021,0.043,0.35,140.104,217053,4,71vVmHeNgCVSa5SVmfvscU,spotify:album:4DcQ33Fg2ZYJSkhoehGI21
6tPQsPJaWj9PXSQhRG4cJQ,The Ex and the Why,23,hard-rock,Project 86,33,53369,"['christian alternative rock', 'christian hard rock', 'christian hardcore', 'christian metal', 'christian rock']","OMNI, Pt. 2",0.366,0.968,8,1,-3.734,0.0931,0.00019,0.311,0.345,0.265,160.064,209560,4,7toVzxZQU21OjB5PqXNvTF,spotify:album:1LP2eBVvBvF2IDtZPEwZCV
2tIJgO3jcpoU1vVE6jJAyT,Snake Oil,39,hard-rock,Tyler Bryant & the Shakedown,36,92300,"['modern blues rock', 'modern hard rock']",Snake Oil,0.548,0.908,0,1,-5.701,0.0332,0.000194,2.84e-05,0.266,0.321,125.922,237373,4,3Ig1cmnFAUxpTEYVjTRkLo,spotify:album:60dE4Bn5vZGZIpFGxsufOY
04whr72fwhUg3gSezpgQ9N,Trial By Fire,37,hard-rock,Judas Priest,65,3991906,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",The Serpent and the King,0.414,0.896,10,0,-6.45,0.0491,0.000256,0.0031,0.218,0.396,165.063,261014,3,2tRsMl4eGxwoNabM08Dm4I,spotify:album:53T5pDi25DmqJiQgHdinBq
