track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
5RMTsrJkrtumtiIZjy7dL6,H.Y.B. (feat. Bas & Central Cee),82,hip-hop,J. Cole,85,23279959,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",Might Delete Later,0.775,0.491,1,0,-7.395,0.297,0.366,0.0,0.117,0.309,139.897,234587,4,6l3HvQ5sa6mXTsMTB19rO5,spotify:album:57wh3BpvUF2tmvwoGSjUe3
2w5BtuWXISpB6NM4xPoeiR,"Pricey (feat. Ari Lennox, Young Dro & Gucci Mane)",79,hip-hop,J. Cole,85,23279959,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",Might Delete Later,0.657,0.718,2,1,-6.88,0.344,0.158,0.0,0.715,0.31,78.956,295147,4,6l3HvQ5sa6mXTsMTB19rO5,spotify:album:57wh3BpvUF2tmvwoGSjUe3
0NXRZaUn11do0EzDFlXkbj,Pi (feat. Daylyt & Ab-Soul),75,hip-hop,J. Cole,85,23279959,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",Might Delete Later,0.512,0.808,5,1,-6.871,0.355,0.394,0.0,0.109,0.627,153.845,354773,4,6l3HvQ5sa6mXTsMTB19rO5,spotify:album:57wh3BpvUF2tmvwoGSjUe3
4wwACmcnLZWd5MAdNPE6mP,Me And Mike,56,hip-hop,Rio Da Yung Og,63,345528,"['detroit hip hop', 'flint hip hop']",Me And Mike,0.538,0.587,0,0,-8.079,0.47,0.0553,2.29e-05,0.0892,0.298,101.074,139729,4,6O1vRHWVGKJTnWuJmItnsx,spotify:album:69oFLAcQKRkhTOowDPMCJW
7sVbKoBdhXtYCEOO6qC1SN,We Still Don't Trust You,86,hip-hop,Future,91,16689234,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",WE STILL DON'T TRUST YOU,0.714,0.581,0,0,-6.0,0.0265,0.0614,0.0411,0.402,0.421,109.998,252920,4,1RyvyyTE3xzB2ZywiAwp0i,spotify:album:3bSNhnaQQXpC639OQ4pMyP
3OxL6MuctgZp1e0zxoAZhH,Young Metro,86,hip-hop,Future,91,16689234,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",WE DON'T TRUST YOU,0.716,0.664,6,0,-7.297,0.0571,0.11,0.0,0.11,0.209,112.054,205347,4,1RyvyyTE3xzB2ZywiAwp0i,spotify:album:4iqbFIdGOTzXeDtt9owjQn
3kFRPjcHAlQrfHytP6kR61,Femme Fatale (feat. Coi Leray & Kaliii),67,hip-hop,G-Eazy,76,5248665,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",Femme Fatale (feat. Coi Leray & Kaliii),0.792,0.482,8,1,-9.925,0.278,0.0191,0.0,0.128,0.731,100.022,190105,4,02kJSzxNuaWGqwubyUba0Z,spotify:album:2S0pVYtrczvAfcw8d8BHUc
0lOQaZwX9AkAiSvObh4G70,All to Myself,77,hip-hop,Future,91,16689234,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",WE STILL DON'T TRUST YOU,0.727,0.544,4,0,-7.249,0.0457,0.0693,2.98e-05,0.301,0.182,118.005,254320,4,1RyvyyTE3xzB2ZywiAwp0i,spotify:album:3bSNhnaQQXpC639OQ4pMyP
4thOONDx78zsY8sHGfU1M2,You and Me,76,hip-hop,Shubh,74,3434159,['punjabi hip hop'],Leo,0.695,0.786,8,0,-6.223,0.037,0.109,0.0122,0.186,0.408,102.022,172067,4,5r3wPya2PpeTTsXsGhQU8O,spotify:album:1h0Yw7Wm49GGiGpN2gd3o2
2V0Vlkbb6fUEHl1gk8Lwr6,That's My Girl,69,hip-hop,Russ,73,5062453,"['hawaiian hip hop', 'pop rap']",That's My Girl & Tired,0.952,0.494,10,0,-8.869,0.0826,0.0757,0.0,0.0545,0.597,102.998,134126,4,1z7b1Pr1rSlvWRzsW3HOrS,spotify:album:1kfbsMBtTpCrrXqUnBYjjH
