track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
588BZ0QcDEw440YQyJx22U,Here And Now,40,metal,Staind,63,2485704,"['alternative metal', 'nu metal', 'post-grunge']",Better Days (feat. Dorothy),0.395,0.805,4,1,-3.254,0.0487,0.0239,0.0137,0.0727,0.292,125.2,237859,4,5KDIH2gF0VpelTqyQS7udb,spotify:album:5kg2p6l4S8ggKJFzioquG6
0u4GNHMmANV4S7WnnE8RH7,Blood And Tar,50,metal,Five Finger Death Punch,71,6278725,"['alternative metal', 'groove metal', 'nu metal']",AfterLife (Deluxe),0.483,0.995,4,0,-4.599,0.0981,2.6e-05,6.42e-06,0.0768,0.217,94.959,202895,4,5t28BP42x2axFnqOOMg3CM,spotify:album:3nEUhPvFBnLSi30EZy931a
1qX3Aw57OCHcrEoB35nDfr,The Serpent and the King,58,metal,Judas Priest,65,3991906,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",Invincible Shield (Deluxe Edition),0.571,0.967,10,0,-5.033,0.103,7.76e-05,0.613,0.11,0.442,110.004,259748,4,2tRsMl4eGxwoNabM08Dm4I,spotify:album:0SgF4c7VeFBoATEdpTvgG8
29mkw7NMFtKW9yJIWPJvcA,Sick and Lavish,41,metal,Greyhaven,37,33693,"['american metalcore', 'progressive metalcore', 'progressive post-hardcore']",Stereo Grief,0.446,0.967,6,0,-2.491,0.0547,0.00226,3.38e-05,0.327,0.454,126.765,256427,4,1zmx3NwOp6vR4qEjmhSiLL,spotify:album:0ilWGnxo2S4YVseDOnM8sB
2n09w41gAdEsJFp6bD0sBT,The Serpent and the King,47,metal,Judas Priest,65,3991906,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",The Serpent and the King,0.571,0.967,10,0,-5.033,0.103,7.76e-05,0.613,0.11,0.442,110.004,259748,4,2tRsMl4eGxwoNabM08Dm4I,spotify:album:53T5pDi25DmqJiQgHdinBq
7vD3XUt1zFw0a86jX3nEPz,Echoes,38,metal,Andromida,40,52774,"['djent', 'instrumental djent', 'progressive metalcore']",Echoes,0.438,0.977,11,0,-2.042,0.137,6.58e-05,6.59e-05,0.355,0.402,140.058,192107,4,4MRGrA70WS54oeDLbIWrTr,spotify:album:7ja0mgohu8Yra1YMbkJyGv
3PFhTnE0mWxkDOOhHDw3ua,Green & Glass,42,metal,Unleash The Archers,44,179407,"['gothic symphonic metal', 'melodic metal', 'power metal', 'slayer', 'symphonic metal', 'vancouver metal']",Green & Glass,0.479,0.956,1,1,-6.041,0.103,0.000284,0.00018,0.35,0.153,109.976,330933,4,6irKXFXk2sPNmHtKqmrfuU,spotify:album:3I07C2xUz2j08uh99DoPrf
2ahnJRQjXpdJvZ46x0KbIJ,Hollow Heart,38,metal,Andromida,40,52774,"['djent', 'instrumental djent', 'progressive metalcore']",Hollow Heart,0.428,0.947,2,0,-2.53,0.0852,0.00121,0.0,0.275,0.301,110.091,233591,4,4MRGrA70WS54oeDLbIWrTr,spotify:album:4iq8rtTGJxYWxeHusRE3xb
520YV13ulSpYYFH3PF8bu3,Hex Unending (feat. Dan Sugarman & Ice Nine Kills),45,metal,Dååth,31,29010,"['atlanta metal', 'groove metal', 'progressive groove metal']",Hex Unending (feat. Dan Sugarman & Ice Nine Kills),0.382,0.985,4,0,-4.292,0.126,0.000126,0.0926,0.316,0.256,179.97,212427,4,1zPmAg2AfxmMPKspgUv9JN,spotify:album:0bTO5gZDrhs4BgdqZXJq8V
7AgCZfUW6PaKLwcSdmq1BX,Flowers And Butterflies Lullaby,42,metal,Axty,33,24186,"['brazilian metalcore', 'brazilian post-hardcore']",Flowers And Butterflies Lullaby,0.391,0.994,7,1,-1.578,0.267,0.000328,0.000421,0.381,0.0653,169.945,193491,4,4zVeGdifjxGkC3eCSmCo0H,spotify:album:6FvrxCEXklF8LLBErEOqNm
763y47autx5wDMOwd9bMpZ,Blood and Teeth,35,metal,Enterprise Earth,36,104208,"['brutal deathcore', 'deathcore', 'melodic metalcore', 'progressive deathcore']",Death: An Anthology,0.249,0.836,0,0,-7.016,0.114,0.000603,0.00763,0.187,0.125,118.382,405263,4,1l3cAmALCtGbjWGVtRwhoh,spotify:album:2JBNKkdKgCZ9mW2IZOuOHd
0d5OPukqiVVnz6uTzGab5G,Crooks and Criminals,39,metal,Hacktivist,32,57623,"['djent', 'nu-metalcore', 'rap metal', 'thall']",Crooks and Criminals,0.419,0.966,8,1,-5.63,0.27,0.000172,0.804,0.141,0.181,74.393,133691,4,3hZtRePYRKW6wLtZ3gpnk7,spotify:album:5ajdLFIFmANTnN7lBHNUAO
