track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,album_uri,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_genre
1q1WpDkeFN3y9FlwZ1f440,Wildflower and Barley (feat. Allison Russell),72,2FXC3k01G6Gw61bmprjgqS,Hozier,85,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Unheard,spotify:album:1KZC0cX0qq6hodR9YVgh9F,0.445,0.429,7,1,-10.029,0.0477,0.33,0.000386,0.178,0.388,168.104,222177,4,rock
7zTZfbO4ZiK69Y6nO4iyO9,Wildflower and Barley (feat. Allison Russell),67,2FXC3k01G6Gw61bmprjgqS,Hozier,85,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Unreal Unearth: Unheard,spotify:album:1vL2mgGTukkrUxXt0loeTN,0.445,0.429,7,1,-10.029,0.0477,0.33,0.000386,0.178,0.388,168.104,222177,4,rock
0spCehRZOXf6jItG7pcVdO,"Me and Paul - Live at The Hollywood Bowl, Los Angeles, CA - April 30, 2023",29,2sxmKe3CUrWnx7eoXMhOlW,Dwight Yoakam,56,"['bakersfield sound', 'country', 'country rock']",Long Story Short: Willie Nelson 90 (Live At Hollywood Bowl),spotify:album:1d6bEE3fpUfav6T1IdUBth,0.302,0.848,7,1,-4.994,0.0436,0.0673,0.0427,0.981,0.296,91.1,253384,4,rock
5rqj68RF5smc7CmGE60jSb,Pirates & Parrots (feat. Mac McAnally),58,6yJCxee7QumYr820xdIsjo,Zac Brown Band,70,"['contemporary country', 'country', 'country road', 'modern country rock']",Pirates & Parrots (feat. Mac McAnally),spotify:album:204AnaLrCMvOeXCCO5JqH1,0.529,0.432,4,1,-5.71,0.0302,0.442,0.0,0.326,0.499,139.948,235792,4,rock
6rGf5AsEaVskU0pO2ewcUL,Sweet Disposition - John Summit & Silver Panda Remix,69,4W48hZAnAHVOC2c8WH8pcq,The Temper Trap,64,"['indietronica', 'modern rock', 'shimmer pop']",Sweet Disposition (John Summit & Silver Panda Remix),spotify:album:1xGF8XISTlMx8LCZrxhLa5,0.587,0.919,11,0,-4.679,0.0429,0.0042,0.014,0.357,0.0745,125.977,251905,4,rock
7k9ggvboitGpFmfBJtjeqG,Read Em And Weep,59,7mnBLXK823vNxN3UWB7Gfz,The Black Keys,72,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",Ohio Players,spotify:album:4Tdem6pnui14BlWLCB4VrI,0.283,0.859,6,0,-2.354,0.0521,0.219,0.0441,0.111,0.712,122.708,203874,4,rock
18YUeCaST4B5bAtVJnPQgb,Me And My Kind,54,78YqeIji3mgAS2K1Maca6x,Dylan Scott,69,"['contemporary country', 'country road', 'modern country rock']",Livin' My Best Life (Still),spotify:album:3B38AH4XMqDiI9W2Yd6mDT,0.605,0.839,6,1,-5.093,0.0586,0.0553,0.0,0.317,0.616,129.93,145133,4,rock
0IMBV4YXZABCZ95FaaQZUp,Candy and Her Friends (feat. Lil Noid),61,7mnBLXK823vNxN3UWB7Gfz,The Black Keys,72,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",Ohio Players,spotify:album:4Tdem6pnui14BlWLCB4VrI,0.504,0.777,4,0,-2.829,0.192,0.0949,7.67e-05,0.672,0.594,74.352,205279,4,rock
1bCXJNruuOmSgeoc2kij4S,Midwest Rock & Roll,56,7lDVEkjIURPMyUYwoQRrpw,Ryan Hurd,53,"['contemporary country', 'country pop', 'country road', 'modern country rock']",Midwest Rock & Roll,spotify:album:1ROseSkx6NaAleh4OIknGf,0.414,0.693,1,1,-4.655,0.0286,0.00638,0.0,0.138,0.379,76.025,231672,4,rock
42YrtW7V1OyF3BXi0ftYQj,Good People,60,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,69,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",Good People,spotify:album:61hQL89ZMJXqfNXoMmcjG3,0.61,0.774,1,1,-4.925,0.0439,0.256,0.0,0.0972,0.417,98.098,186126,4,rock
2NmZu0q7WEz96ZV1frglUN,"Roll Me Up And Smoke Me When I Die - Live at The Hollywood Bowl, Los Angeles, CA - April 30, 2023",24,5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,70,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']",Long Story Short: Willie Nelson 90 (Live At Hollywood Bowl),spotify:album:1d6bEE3fpUfav6T1IdUBth,0.373,0.935,0,1,-4.849,0.0952,0.307,0.0139,0.982,0.413,119.423,209948,4,rock
0T6ZJttgrFfKAZs4h0MRtj,Paper Crown (feat. Beck and Juicy J),61,7mnBLXK823vNxN3UWB7Gfz,The Black Keys,72,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",Ohio Players,spotify:album:4Tdem6pnui14BlWLCB4VrI,0.465,0.801,2,1,-3.339,0.207,0.0241,0.0,0.122,0.392,104.932,257894,4,rock
6Oq3AYUGD8CazZYGjR4MNX,"Pancho & Lefty - Live at The Hollywood Bowl, Los Angeles, CA - April 30, 2023",24,5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,70,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']",Long Story Short: Willie Nelson 90 (Live At Hollywood Bowl),spotify:album:1d6bEE3fpUfav6T1IdUBth,0.454,0.845,2,1,-5.989,0.0354,0.197,0.197,0.963,0.485,113.364,300191,4,rock
2tshfSpT1vLHlMZ88btPOj,Wanting and Waiting,53,5krkohEVJYw0qoB5VWwxaC,The Black Crowes,60,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'heartland rock', 'jam band', 'rock', 'southern rock']",Wanting and Waiting,spotify:album:7nNsP5Tgq1bsQDXBOXVzhw,0.493,0.921,7,1,-3.063,0.0333,0.000118,0.000179,0.159,0.449,117.531,255560,4,rock
